Nr;Municipio;CodIBGE;Estado;Area;Desmatado;Incremento;Floresta;Nuvem;NaoFloresta;Hidrografia;
1;Altamira;1500602;PA;159540;10536.4;799.1;143514.1;60.6;3760.6;1668.3;
2;São Félix do Xingu;1507300;PA;84253;19886.2;608.4;59631.6;8.2;3788.0;939.0;
3;Porto Velho;1100205;RO;34631;11075.1;457.2;22372.9;0.0;431.9;751.1;
4;Lábrea;1302405;AM;69672;5566.9;391.6;61825.0;40.9;1793.3;445.9;
5;Novo Progresso;1505031;PA;38183;6853.2;363.2;27793.2;4.6;3457.3;74.7;
6;Itaituba;1503606;PA;62095;6107.3;273.0;54696.1;20.5;460.8;810.3;
7;Apuí;1300144;AM;54490;3170.7;260.1;50490.1;0.0;625.0;204.2;
8;Pacajá;1505486;PA;11851;6486.8;247.9;5364.2;0.0;0.0;0.0;
9;Colniza;5103254;MT;28123;5407.1;239.5;22348.0;0.0;311.5;56.4;
10;Portel;1505809;PA;25425;2620.2;190.0;21573.0;0.0;385.9;845.9;
11;Novo Repartimento;1505064;PA;15432;8423.2;155.3;5839.7;0.0;1.0;1168.1;
12;Senador José Porfírio;1507805;PA;14389;1568.2;147.7;12348.6;0.0;84.9;387.3;
13;Boca do Acre;1300706;AM;22595;2918.0;147.6;19494.2;0.4;58.4;124.0;
14;Aripuanã;5101407;MT;25182;4619.3;144.7;20225.7;0.0;283.2;53.8;
15;União do Sul;5108303;MT;4583;1419.2;133.7;3141.1;0.0;22.7;0.0;
16;Uruará;1508159;PA;10794;3776.1;133.5;7013.5;4.2;0.0;0.2;
17;Candeias do Jamari;1100809;RO;6931;2479.8;115.5;4070.2;0.0;0.0;381.0;
18;Nova Mamoré;1100338;RO;10241;4160.1;114.6;4679.5;0.0;1358.1;43.3;
19;Anapu;1500859;PA;11910;2932.8;112.6;8796.9;0.0;6.8;173.5;
20;Marcelândia;5105580;MT;12295;3906.9;112.1;8154.7;0.0;218.8;14.6;
21;Novo Aripuanã;1303304;AM;41452;1821.2;111.1;37265.9;2.1;1620.2;742.6;
